car,motorcycle,bus,truck,total,bbox_area_ratio,mean_bbox_area,max_bbox_area,cluster_density,crowd_density,brightness,sharpness,edge_density,zone_top,zone_mid,zone_bottom,bottom_motor,mid_car,is_night,is_rain,label,cam_id,filepath
8,1,1,0,10,0.181882421875,7760.316666666667,41944.69,0.018043891059027775,20.59004020690918,120.13851318359374,777.9422836054955,0.1289754638671875,2,4,3,0,3,1,0,congested,cam10,dataset_cleaned/congested/cam10_20251209_172146.png
0,0,1,0,1,0.24323906250000002,93403.8,91624.68000000001,0.217177734375,1.6597341299057007,96.485732421875,472.2249614269066,0.0403583984375,0,1,0,0,0,1,0,free_flow,cam08,dataset_cleaned/free_flow/cam08_20251208_215214.png
9,10,1,3,23,0.163408984375,2728.2195652173914,16650.98,0.006343516474184783,6.742103576660156,112.016201171875,557.8243369667815,0.1027200927734375,0,13,10,6,5,1,0,moderate,cam08,dataset_cleaned/moderate/cam08_20251206_123458.png
4,2,4,1,11,0.24527070312500002,8562.177272727273,57066.12,0.019908336292613637,2.4950718879699707,127.75727294921874,600.3910376852926,0.099107177734375,5,5,1,2,1,1,0,free_flow,cam07,dataset_cleaned/free_flow/cam07_20251206_145952.png
3,0,1,0,4,0.11243476562500002,10793.737500000001,17937.45,0.0250970458984375,3.757460832595825,89.02297119140626,510.3746968924078,0.053884521484375,1,3,0,0,3,1,0,free_flow,cam08,dataset_cleaned/free_flow/cam08_20251207_044339.png
8,19,2,0,29,0.10868593750000001,1439.151724137931,4672.08,0.0033462419181034485,5.144309043884277,127.82108154296876,644.6312296089947,0.10701574707031251,7,15,7,7,2,1,0,free_flow,cam07,dataset_cleaned/free_flow/cam07_20251206_134952.png
9,20,3,1,33,0.25082421875,2918.681818181818,13827.75,0.006786369554924242,12.033699035644531,123.13450439453125,662.1131760610344,0.09935205078124999,7,20,6,5,4,1,0,moderate,cam11,dataset_cleaned/moderate/cam11_20251209_144208.png
4,20,0,2,26,0.21183750000000004,3128.6769230769232,17650.08,0.007274639423076924,7.456663608551025,102.00414794921875,673.1473184573086,0.0888681640625,7,15,4,4,2,1,0,moderate,cam08,dataset_cleaned/moderate/cam08_20251205_093729.png
10,6,3,0,19,0.29995273437500003,6775.402941176471,70452.0,0.01575382008272059,11.014570236206055,129.69111083984376,717.7702227946222,0.11354223632812499,8,5,4,3,3,1,0,moderate,cam07,dataset_cleaned/moderate/cam07_20251208_172919.png
6,20,9,0,35,0.2548984375,2796.6000000000004,10778.95,0.006502511160714286,12.899471282958984,123.394052734375,796.9233010341108,0.12898999023437502,13,18,4,7,2,1,0,congested,cam10,dataset_cleaned/congested/cam10_20251209_102708.png
8,7,0,3,18,0.21521445312500004,5165.146875,57266.97,0.012009735107421876,2.4374194145202637,130.88165283203125,508.1668720458778,0.089013427734375,3,13,0,0,5,1,0,free_flow,cam09,dataset_cleaned/free_flow/cam09_20251208_160936.png
7,5,0,0,12,0.04151875000000001,1328.6,5495.05,0.0030891927083333335,2.7332329750061035,127.6262646484375,667.9044556347121,0.0941246337890625,7,4,1,1,1,1,0,free_flow,cam10,dataset_cleaned/free_flow/cam10_20251203_132720.png
9,18,0,0,27,0.12865507812500002,1829.7611111111112,6947.35,0.004254466869212963,5.440329074859619,97.16774169921875,511.6085864554633,0.062218505859374995,4,20,3,5,7,1,0,moderate,cam08,dataset_cleaned/moderate/cam08_20251204_171553.png
7,7,1,3,18,0.16324218750000002,3917.8125,25798.41,0.0091094970703125,3.680657386779785,134.36332763671874,515.0565383380874,0.08774133300781249,2,13,1,0,6,1,0,free_flow,cam09,dataset_cleaned/free_flow/cam09_20251209_151155.png
